Problem,Specialist
আমার মেয়ে বুকের দুধ খাওয়ার সময় নাকে মুখে উঠে যায় এরপর ওর শ্বাস বন্ধ হয়ে আসছে মনে হচ্ছে,Medicine
চোখের সাদা অংশে লাল দাগ।,Ophthalmologist
আমার মায়ের হাঁটুতে জল জমার প্রবণতা আছে।,Orthopedic
"আমার প্রায় মাসখানেক ধরে অস্থায়ী দাঁত নড়া, কারণ যা ভাষা বলতে সমস্যা করছে অতিরিক্ত শক্ত ব্রাশ ব্যবহার করি। যা দৈনন্দিন কাজে ব্যাঘাত ঘটাচ্ছে।",Dentist
চোখের মণির ভেতর আলো খেলে যায়।,Ophthalmologist
আমার এক মাস থেকে গলা শুকিয়ে কাঠ হয়ে গেছে এবং গলা ভেঙে গেছে।,ENT
"আমার পেটে পানি জমেছে, পেটটা ফুলে গেছে।",Cardiologist
"আমার পেসমেকারের ব্যাটারি শেষ হয়ে আসছে কিনা, তা বোঝার কোনো উপায় আছে?",Cardiologist
আমার চোখের কর্নিয়া প্রতিস্থাপন করতে হবে।,Surgery
আমি বিয়ের অনেক বছর পরও সন্তান নিতে পারছি না।,Gynecologist
আমার গত এক সপ্তাহ যাবত কান দিয়ে সাদা পুঁজ বের হচ্ছে । মাথাব্যথা করছে।,ENT
আমার রেনাল আর্টারি স্টেনোসিস আছে।,Cardiologist
আমার মায়ের বুকে অনেক ব্যথা করে,Cardiologist
আমার কাটা হাতে সেলাই লাগবে।,Surgery
গর্ভাবস্থায় সোজা হয়ে বসতে পারি না।,Gynecologist
আমার গত কয়েক দিন যাবত নাক দিয়ে শ্বাস নিতে কষ্ট হচ্ছে সাথে সাথে গন্ধ পেলে বমি পায়। জ্বর আসছে।,ENT
আমার কানে মাঝে মাঝে তালা লেগে যায় মনে হয়।,Medicine
আমার হাতের কনুইয়ের জয়েন্টে ব্যথা হয়।,Orthopedic
আমার নিতম্বের জয়েন্টে একটা চিনচিনে ব্যথা হয়।,Orthopedic
আমার পিঠের চামড়ায় ছুলির মতো সাদা দাগ পড়েছে।,Skin
"আমার শ্বাস নিতে কষ্ট হয়, যেন বুকে কিছু আটকে আছে।",Cardiologist
চোখের পাতা ফুলে গেছে।,Ophthalmologist
"প্রচুর রাগ হয় একটু থেকে একটু কিছু হলেই,হাতের কাছে যেটাই পাই ভেঙে ফেলি৷ এমনও অনেক সময় হয় যে কিছু না পেয়ে শরীরের জামাকাপড় টেনে ছিড়ে ফেলেছি৷",Psychiatrist
আমার বাবার অনেক মাথা ব্যথা করে,Medicine
আত্মহত্যার আগ্রহ বেড়েই চলেছে। প্লিজ এ ব্যাপারে কেউ আমাকে সাহায্য করুন,Psychiatrist
"বিয়ের ৫ মাস হলো, নিজের বউ থাকার পরও আরেকটা মেয়ের প্রতি আসক্ত হয়ে গেছি। যদিও আমাদের লাভ ম্যারেজ ছিলো। এই আসক্তির নেশা থেকে পরিত্রাণের উপায় কি? ট্রল না করে সুপরামর্শ দিন।",Psychiatrist
আমার শরীর অনেক দূর্বল লাগে ঠিকমত হাঁটতে পারি না,Medicine
আমার কাঁধের পেছনের দিকে একটা টান লাগে।,Orthopedic
আমার কানের ভেতরের হাড়ের ইনফেকশন (ম্যাস্টয়েডাইটিস) হয়েছে।,Surgery
আমার দুই গালে লালচে ভাব আর জ্বালাপোড়া হয়।,Skin
চোখ বন্ধ করলেই টান টান লাগে।,Ophthalmologist
আমার গলগণ্ড হয়েছে।,Surgery
আমার পিঠের মাঝখানে প্রায়ই ব্যথা হয়।,Orthopedic
